City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Latitude,Longitude
Manila,176.7,197.8,225.8,258.0,222.7,162.0,132.8,132.8,132.0,157.6,153.0,151.9,14.5906346,120.9799964
Dikson,0.0,22.6,127.1,237.0,189.1,141.0,223.2,139.5,60.0,24.8,0.0,0.0,73.5084564,80.5227886
Irkutsk,93.0,149.0,207.0,223.0,266.0,264.0,243.0,218.0,182.0,152.0,93.0,62.0,56.6370122,104.719221
Omsk,68.0,125.0,184.0,235.0,284.0,319.0,321.0,248.0,180.0,105.0,71.0,61.0,54.991375,73.371529
"Petropavlovsk-
Kamchatsky",105.4,115.8,176.7,192.0,192.2,192.0,170.5,176.7,177.0,158.1,123.0,93.0,53.0199838,158.6471356
Vladivostok,178.0,184.0,216.0,192.0,199.0,130.0,122.0,149.0,197.0,205.0,168.0,156.0,43.1150678,131.8855768
Yakutsk,18.6,98.0,232.5,273.0,303.8,333.0,347.2,272.8,174.0,105.4,60.0,9.3,62.0274078,129.7319787
Abha,266.6,265.6,294.5,282.0,288.3,276.0,232.5,238.7,273.0,291.4,273.0,266.6,18.2164282,42.5043596
Riyadh,212.4,226.6,219.8,242.3,287.7,328.2,332.1,309.2,271.6,311.4,269.2,214.3,24.638916,46.7160104
Singapore,172.4,183.2,192.7,173.6,179.8,177.7,187.9,180.6,156.2,155.2,129.6,133.5,1.357107,103.8194992
Busan,199.0,182.5,193.0,210.0,221.7,179.7,165.8,200.9,167.2,208.9,194.4,204.3,35.1799528,129.0752365
Seoul,160.3,163.3,189.0,205.0,213.0,182.0,120.0,152.5,176.2,198.8,153.2,152.6,37.5666791,126.9782914
Kaohsiung,174.7,165.8,187.0,189.1,198.5,199.9,221.4,193.7,175.7,182.4,162.2,161.8,22.6203348,120.3120375
Taichung,176.6,140.6,149.9,137.8,158.7,160.1,199.6,178.7,175.8,203.7,179.4,182.3,24.163162,120.6478282
Taipei,80.6,71.3,89.6,92.6,113.7,121.7,179.0,188.9,153.7,124.0,99.4,90.7,25.0375198,121.5636796
Bangkok,272.5,249.9,269.0,256.7,216.4,178.0,171.8,160.3,154.9,198.1,234.2,262.0,-7.33495,110.6589317
Chiang Mai,272.8,257.1,294.5,279.0,198.4,156.0,120.9,117.8,144.0,201.5,216.0,254.2,18.7882778,98.9858802
Hat Yai,182.9,166.7,186.0,144.0,114.7,111.0,114.7,114.7,108.0,111.6,105.0,108.5,7.0074644,100.4689889
Nakhon Ratchasima,226.3,211.9,201.5,186.0,155.0,114.0,117.8,117.8,108.0,145.7,186.0,226.3,15.2241917,101.9313754
Ankara,77.5,98.9,161.2,189.0,260.4,306.0,350.3,328.6,276.0,198.4,132.0,71.3,39.7160439,32.7059948
Dubai,254.2,229.6,254.2,294.0,344.1,342.0,322.4,316.2,309.0,303.8,285.0,254.2,25.074282349999997,55.18853865430702
Tashkent,117.8,127.1,164.3,216.0,303.8,363.0,384.4,365.8,300.0,226.3,150.0,105.4,41.3123363,69.2787079
Da Lat,255.0,234.0,255.0,202.0,190.0,147.0,157.0,136.0,133.0,140.0,172.0,215.0,11.93832958,108.436331588
Da Nang,139.0,145.0,188.0,209.0,246.0,239.0,253.0,218.0,176.0,145.0,120.0,103.0,16.068,108.212
Hanoi,74.0,47.0,47.0,90.0,183.0,172.0,195.0,174.0,176.0,167.0,137.0,124.0,21.0283334,105.854041
Ho Chi Minh City,245.0,246.0,272.0,239.0,195.0,171.0,180.0,172.0,162.0,182.0,200.0,226.0,10.7763897,106.7011391
